Symblos	MSU7	RAP
LHY	LOC_Os08g06110	Os08g0157600
PRR95	LOC_Os09g36220	Os09g0532400
PRR73	LOC_Os03g17570	Os03g0284100
PRR59	LOC_Os11g05930	Os11g0157600
PRR37	LOC_Os07g49460	Os07g0695100
TOC1	LOC_Os02g40510	Os02g0618200
ZTL1	LOC_Os02g05700	Os02g0150800
ZTL2	LOC_Os06g47890	Os06g0694000
FKF1	LOC_Os11g34460	Os11g0547000
PCL1	LOC_Os01g74020	Os01g0971800
GI	LOC_Os01g08700	Os01g0182600
ELF3.1	LOC_Os06g05060	Os06g0142600
ELF3.2	LOC_Os01g38530	Os01g0566100
COR1	LOC_Os03g08580	Os03g0184100
COR2	LOC_Os10g25060	Os10g0389500
COR3	LOC_Os07g42650	Os07g0618700
